timestamp,pm_mb,ws_mb
2026-03-28T00:39:47.3391647+07:00,139.1,168.2
2026-03-28T00:40:17.4045591+07:00,139.2,168.3
2026-03-28T00:40:47.4390942+07:00,139.4,168.8
2026-03-28T00:41:17.4534901+07:00,139.4,168.7
2026-03-28T00:41:47.4716206+07:00,139.4,168.7
2026-03-28T00:42:17.4941111+07:00,139.3,168.7
2026-03-28T00:42:47.5225758+07:00,139.4,168.8
2026-03-28T00:43:17.5845508+07:00,139.4,168.8
2026-03-28T00:43:47.6113570+07:00,139.4,168.8
2026-03-28T00:44:17.6307771+07:00,139.4,168.8
2026-03-28T00:44:47.6421304+07:00,139.8,169
2026-03-28T00:45:17.6665832+07:00,139.7,169
2026-03-28T00:45:47.6785853+07:00,139.8,169
2026-03-28T00:46:17.6995401+07:00,139.9,169.2
2026-03-28T00:46:47.7192644+07:00,139.7,169
2026-03-28T00:47:17.7421714+07:00,139.7,169
2026-03-28T00:47:47.7631815+07:00,139.7,169
2026-03-28T00:48:17.7760795+07:00,139.7,169
2026-03-28T00:48:47.7958718+07:00,139.8,169.1
2026-03-28T00:49:17.8066722+07:00,139.8,169
2026-03-28T00:49:47.8298856+07:00,139.8,169.1
2026-03-28T00:50:17.8504205+07:00,139.7,169.1
2026-03-28T00:50:47.8732684+07:00,139.7,169
2026-03-28T00:51:17.9112110+07:00,139.7,169
2026-03-28T00:51:47.9312263+07:00,139.7,169.1
2026-03-28T00:52:17.9440257+07:00,139.8,169.1
2026-03-28T00:52:47.9614730+07:00,139.8,169.1
